iter	Passed	Remaining
286	473	1176
287	474	1172
288	475	1169
289	476	1167
290	477	1164
291	478	1160
292	484	1169
293	486	1169
294	489	1170
295	493	1172
296	494	1169
297	498	1174
298	499	1172
299	500	1168
300	501	1165
301	502	1161
302	503	1158
303	504	1155
304	505	1152
305	506	1149
306	507	1146
307	508	1142
308	509	1139
309	513	1142
310	514	1139
311	515	1136
312	516	1133
313	517	1130
314	518	1127
315	519	1124
316	520	1122
317	522	1119
318	523	1116
319	524	1113
320	525	1110
321	530	1116
322	531	1113
323	532	1110
324	533	1107
325	534	1104
326	535	1101
327	536	1098
328	537	1095
329	538	1092
330	539	1089
331	540	1086
332	543	1089
333	545	1088
334	546	1085
335	548	1083
336	549	1080
337	550	1077
338	551	1074
339	552	1072
340	553	1069
341	554	1066
342	556	1066
343	558	1065
344	559	1062
345	560	1059
346	561	1056
347	562	1053
348	563	1050
349	564	1047
350	565	1044
351	566	1042
352	566	1039
353	568	1036
354	569	1034
355	570	1031
356	575	1037
357	577	1035
358	578	1032
359	579	1030
360	580	1027
361	581	1024
362	582	1021
363	583	1019
364	584	1016
365	585	1013
366	589	1016
367	591	1015
368	593	1014
369	594	1012
370	596	1011
371	597	1008
372	598	1005
373	599	1003
374	600	1001
375	602	999
376	603	997
377	604	994
378	605	992
379	606	989
380	607	987
381	608	984
382	609	981
383	610	979
384	611	976
385	612	974
386	613	971
387	618	975
388	619	973
389	620	971
390	622	968
391	623	966
392	624	963
393	625	961
394	626	959
395	627	956
396	628	954
397	630	952
398	632	951
399	633	950
400	634	947
401	635	945
402	636	942
403	637	940
404	638	938
405	639	935
406	640	933
407	641	930
408	642	928
409	643	925
410	644	924
411	645	921
412	647	919
413	648	917
414	649	915
415	650	912
416	650	910
417	651	907
418	652	905
419	653	903
420	655	900
421	655	898
422	660	900
423	662	899
424	663	897
425	664	895
426	665	893
427	666	890
428	667	888
429	668	886
430	669	884
431	671	882
432	674	883
433	676	882
434	678	881
435	679	879
436	681	877
437	682	875
438	683	873
439	684	871
440	685	868
441	686	866
442	689	867
443	690	865
444	691	862
445	692	860
446	693	858
447	695	856
448	695	854
449	696	851
450	697	849
451	698	847
452	699	845
453	700	843
454	705	844
455	707	843
456	708	841
457	709	839
458	710	837
459	711	835
460	713	833
461	714	831
462	715	829
463	716	827
464	717	825
465	721	826
466	722	825
467	724	823
468	725	821
469	726	819
470	730	820
471	736	823
472	750	836
473	751	834
474	752	832
475	753	829
476	754	827
477	756	825
478	757	823
479	758	821
480	759	819
481	765	822
482	766	820
483	767	818
484	768	816
485	770	814
486	771	812
487	772	810
488	773	808
489	774	806
490	779	808
491	780	805
492	781	803
493	782	801
494	783	799
495	784	797
496	785	795
497	786	792
498	787	790
499	788	788
500	789	786
501	794	787
502	795	786
503	796	784
504	797	781
505	798	779
506	799	777
507	800	775
508	801	773
509	802	771
510	803	769
511	804	767
512	808	767
513	810	766
514	811	764
515	812	762
516	813	760
517	815	758
518	816	756
519	817	754
520	818	752
521	825	755
522	826	753
523	828	752
524	833	754
525	835	752
526	839	753
527	841	752
528	842	750
529	843	748
530	844	745
531	845	743
532	846	741
533	847	739
534	848	737
535	849	735
536	850	733
537	851	731
538	857	733
539	858	731
540	860	730
541	862	728
542	863	726
543	864	724
544	865	722
545	866	720
546	872	722
547	873	720
548	875	719
549	877	717
550	878	715
551	879	713
552	880	712
553	890	716
554	891	715
555	892	713
556	893	710
557	895	709
558	896	707
559	897	705
560	901	705
561	903	704
562	904	702
563	905	700
564	906	698
565	908	696
566	909	694
567	910	692
568	911	690
569	912	688
570	915	687
571	917	686
572	918	684
573	919	682
574	920	680
575	921	678
576	922	676
577	923	674
578	924	672
579	925	670
580	926	668
581	927	666
582	932	667
583	934	665
584	935	663
585	936	661
586	937	659
587	938	657
588	939	655
589	940	653
590	941	651
591	943	649
592	947	650
593	948	648
594	949	646
595	950	644
596	951	642
597	952	640
598	953	638
599	954	636
600	955	634
601	956	632
602	957	630
603	960	630
604	962	628
605	964	626
606	965	624
607	966	623
608	968	621
609	969	619
610	970	617
611	971	615
612	972	613
613	973	611
614	978	612
615	979	610
616	980	608
617	981	606
618	982	604
619	983	602
620	984	601
621	985	599
622	986	597
623	987	595
624	988	593
625	993	593
626	995	592
627	996	590
628	997	588
629	998	586
630	999	584
631	1000	582
632	1001	580
633	1002	578
634	1004	577
635	1009	577
636	1010	575
637	1011	573
638	1012	572
639	1014	570
640	1015	568
641	1016	566
642	1017	564
643	1018	563
644	1023	563
645	1025	562
646	1027	560
647	1028	558
648	1029	556
649	1030	555
650	1031	553
651	1033	551
652	1034	549
653	1038	549
654	1040	547
655	1041	546
656	1042	544
657	1043	542
658	1045	540
659	1046	538
660	1047	536
661	1048	535
662	1049	533
663	1054	533
664	1055	531
665	1056	529
666	1058	528
667	1059	526
668	1060	524
669	1061	523
670	1062	521
671	1063	519
672	1065	517
673	1067	516
674	1068	514
675	1069	512
676	1070	510
677	1071	509
678	1073	507
679	1073	505
680	1074	503
681	1075	501
682	1076	499
683	1081	499
684	1083	498
685	1085	496
686	1086	494
687	1087	493
688	1088	491
689	1089	489
690	1090	487
691	1091	485
692	1095	485
693	1097	483
694	1098	482
695	1099	480
696	1100	478
697	1101	476
698	1102	474
699	1103	472
700	1104	470
701	1105	469
702	1106	467
703	1107	465
704	1119	468
705	1120	466
706	1121	464
707	1125	463
708	1126	462
709	1128	460
710	1128	458
711	1129	457
712	1130	455
713	1131	453
714	1132	451
715	1133	449
716	1134	447
717	1135	446
718	1136	444
719	1140	443
720	1142	442
721	1143	440
722	1144	438
723	1146	437
724	1147	435
725	1148	433
726	1150	431
727	1151	430
728	1152	428
729	1158	428
730	1160	426
731	1161	425
732	1162	423
733	1163	421
734	1164	419
735	1165	418
736	1166	416
737	1167	414
738	1173	414
739	1175	412
740	1176	411
741	1177	409
742	1178	407
743	1179	405
744	1180	404
745	1181	402
746	1182	400
747	1189	400
748	1190	399
749	1192	397
750	1193	395
751	1194	393
752	1195	392
753	1196	390
754	1197	388
755	1198	386
756	1203	386
757	1205	384
758	1206	382
759	1207	381
760	1207	379
761	1208	377
762	1209	375
763	1211	374
764	1212	372
765	1213	370
766	1217	369
767	1220	368
768	1222	367
769	1223	365
770	1225	363
771	1226	362
772	1227	360
773	1228	358
774	1232	357
775	1233	356
776	1235	354
777	1236	352
778	1239	351
779	1241	350
780	1242	348
781	1243	346
782	1245	345
783	1249	344
784	1250	342
785	1252	340
786	1253	339
787	1254	337
788	1255	335
789	1256	334
790	1257	332
791	1259	330
792	1264	330
793	1266	328
794	1267	326
795	1268	325
796	1270	323
797	1271	321
798	1272	320
799	1273	318
800	1274	316
801	1277	315
802	1279	313
803	1280	312
804	1281	310
805	1282	308
806	1283	306
807	1284	305
808	1285	303
809	1286	301
810	1287	300
811	1288	298
812	1293	297
813	1295	295
814	1296	294
815	1297	292
816	1298	290
817	1299	289
818	1300	287
819	1301	285
820	1302	284
821	1304	282
822	1308	281
823	1310	280
824	1312	278
825	1313	276
826	1314	275
827	1315	273
828	1316	271
829	1318	269
830	1319	268
831	1320	266
832	1322	265
833	1323	263
834	1324	261
835	1325	259
836	1326	258
837	1327	256
838	1328	254
839	1329	253
840	1330	251
841	1331	249
842	1333	248
843	1335	246
844	1336	245
845	1338	243
846	1339	241
847	1340	240
848	1341	238
849	1342	236
850	1343	235
851	1346	233
852	1348	232
853	1350	230
854	1351	229
855	1352	227
856	1353	225
857	1355	224
858	1356	222
859	1357	220
860	1358	219
861	1359	217
862	1363	216
863	1364	214
864	1365	213
865	1366	211
866	1367	209
867	1368	208
868	1369	206
869	1370	204
870	1371	203
871	1372	201
872	1373	199
873	1374	198
874	1379	197
875	1381	195
876	1382	193
877	1383	192
878	1384	190
879	1385	188
880	1386	187
881	1387	185
882	1388	183
883	1389	182
884	1390	180
885	1394	179
886	1396	177
887	1397	176
888	1398	174
889	1399	172
890	1400	171
891	1401	169
892	1402	168
893	1403	166
894	1404	164
895	1409	163
896	1410	161
897	1411	160
898	1412	158
899	1413	157
900	1414	155
901	1415	153
902	1416	152
903	1417	150
904	1418	148
905	1419	147
906	1420	145
907	1426	144
908	1427	142
909	1429	141
910	1430	139
911	1431	138
912	1433	136
913	1433	134
914	1434	133
915	1435	131
916	1441	130
917	1442	128
918	1444	127
919	1445	125
920	1446	124
921	1447	122
922	1448	120
923	1449	119
924	1450	117
925	1456	116
926	1457	114
927	1458	113
928	1459	111
929	1461	109
930	1462	108
931	1463	106
932	1464	105
933	1465	103
934	1470	102
935	1473	100
936	1482	99
937	1488	98
938	1489	96
939	1491	95
940	1492	93
941	1493	91
942	1494	90
943	1495	88
944	1496	87
945	1497	85
946	1501	84
947	1503	82
948	1504	80
949	1505	79
950	1506	77
951	1507	76
952	1508	74
953	1509	72
954	1510	71
955	1511	69
956	1512	67
957	1513	66
958	1519	64
959	1521	63
960	1522	61
961	1523	60
962	1524	58
963	1525	56
964	1526	55
965	1527	53
966	1528	52
967	1533	50
968	1534	49
969	1535	47
970	1536	45
971	1537	44
972	1538	42
973	1539	41
974	1540	39
975	1541	37
976	1542	36
977	1544	34
978	1545	33
979	1546	31
980	1547	29
981	1548	28
982	1549	26
983	1550	25
984	1551	23
985	1552	22
986	1553	20
987	1554	18
988	1559	17
989	1561	15
990	1562	14
991	1564	12
992	1564	11
993	1565	9
994	1566	7
995	1567	6
996	1568	4
997	1569	3
998	1574	1
999	1576	0
